address;neighborhood;price;days_in_market;expenses;util;n_rooms;n_bathrooms;parking
Samambaia Sul, Samambaia;Samambaia Sul;1950.0;34.0;;;;;
SQNW 107 BLOCO J,  Noroeste, Brasília;Noroeste;5500.0;11.0;1374.0;122.0;3.0;4.0;3.0
Zona Industrial, Brasília;Zona Industrial;210000.0;128.0;;6720.0;;0.0;
Asa Norte, Brasília;Asa Norte;3400.0;1.0;;44.0;1.0;1.0;1.0
Lago Norte, Brasília;Lago Norte;1490.0;1.0;423.0;42.0;1.0;0.0;1.0
Rua SHS Quadra 6 Blocos A ao F Lote 1 0,  Asa Sul, Brasília;Asa Sul;900.0;85.0;;35.0;;1.0;
Asa Sul, Brasília;Asa Sul;550.0;0.0;330.0;30.0;;1.0;
QI 10,  Setor Industrial, Taguatinga;Setor Industrial;50000.0;221.0;;3800.0;;11.0;17.0
Asa Norte, Brasília;Asa Norte;600.0;1.0;292.0;41.0;1.0;1.0;
SEPS 707/907 PRÉDIO NOVO - ANDAR 1.140 m²,  Asa Sul, Brasília;Asa Sul;80000.0;330.0;;1140.0;;0.0;
SCRN 716 BLOCO C Entr. 34 101,  Asa Norte, Brasília;Asa Norte;750.0;1.0;280.0;28.0;1.0;1.0;
Asa Norte, Brasília;Asa Norte;13000.0;11.0;1450.0;305.0;;3.0;
SHTN TRECHO 02 CONJUNTO 05 PROJETO ORLA Bay park,  Asa Norte, Brasília;Asa Norte;2400.0;73.0;1.0;50.0;2.0;1.0;
SQN 213 Bloco K,  Asa Norte, Brasília;Asa Norte;16000.0;50.0;2159.0;272.0;4.0;5.0;3.0
Quadra QE 32 Conjunto D 32,  Guara II, Guará;Guara II;2300.0;8.0;;160.0;4.0;2.0;10.0
Aguas Sul, Águas Claras;Aguas Sul;1800.0;11.0;800.0;61.0;2.0;2.0;1.0
SGCV Lote 27 Prime Residence 2Qtos,  Park Sul, Brasília;Park Sul;4500.0;1.0;960.0;70.0;2.0;2.0;1.0
Octogonal, Brasília;Octogonal;2600.0;11.0;780.0;66.0;2.0;2.0;1.0
Noroeste, Brasília;Noroeste;9300.0;11.0;;124.0;;1.0;2.0
Asa Norte, Brasília;Asa Norte;140000.0;13.0;;2289.0;;;70.0
Asa Sul, Brasília;Asa Sul;3650.0;22.0;710.0;90.0;3.0;3.0;1.0
Asa Sul, Brasília;Asa Sul;7200.0;0.0;1.0;101.0;;1.0;
Área de Desenvolvimento Econômico, Águas Claras;Área de Desenvolvimento Econômico;42000.0;357.0;;843.0;;0.0;
QD Qe 38 Conjunto A,  Centro, Brasília;Centro;600.0;0.0;;47.0;1.0;1.0;1.0
Quadra Qnn 5 Conjunto C 35,  Ceilandia Norte, Ceilândia;Ceilandia Norte;370.0;0.0;;26.0;1.0;1.0;
Asa Sul, Brasília;Asa Sul;9000.0;277.0;2581.0;170.0;;2.0;
CONNECT TOWERS,  Taguatinga Sul, Taguatinga;Taguatinga Sul;1720.0;11.0;272.0;43.0;;1.0;1.0
CLS 110 BLOCO C LOJA 35,  Asa Sul, Brasília;Asa Sul;18000.0;24.0;;500.0;;4.0;
SHMA PA 01 LOTE 03 SALA 01,  Jardins Mangueiral, São Sebastião;Jardins Mangueiral;9500.0;7.0;;190.0;;4.0;2.0
Aguas Sul, Águas Claras;Aguas Sul;1700.0;4.0;;60.0;1.0;2.0;1.0
Quadra Qmsw 5 6,  Sudoeste, Brasília;Sudoeste;1300.0;8.0;251.0;30.0;1.0;1.0;
Aguas Norte, Águas Claras;Aguas Norte;1700.0;0.0;712.0;68.0;3.0;2.0;
AOS 01,  Octogonal, Brasília;Octogonal;2300.0;24.0;;63.0;2.0;2.0;1.0
SRTN 701,  Asa Norte, Brasília;Asa Norte;1690.0;0.0;567.0;33.0;;;1.0
RUA 3 CHÁCARA 81,  Vicente Pires, Vicente Pires;Vicente Pires;790.0;0.0;;45.0;1.0;1.0;
